case_id,area,disease,total_gold,evaluable,gold_drugs,retrieval_hit_at_1,retrieval_gold_hit_count_at_1,retrieval_precision_at_1,retrieval_average_precision_at_1,retrieval_gold_recall_at_1,retrieval_matched_gold_at_1,retrieval_hit_at_5,retrieval_gold_hit_count_at_5,retrieval_precision_at_5,retrieval_average_precision_at_5,retrieval_gold_recall_at_5,retrieval_matched_gold_at_5,Hit@10,retrieval_gold_hit_count_at_10,retrieval_precision_at_10,retrieval_average_precision_at_10,retrieval_gold_recall_at_10,retrieval_matched_gold_at_10,retrieval_hit_at_20,retrieval_gold_hit_count_at_20,retrieval_precision_at_20,retrieval_average_precision_at_20,retrieval_gold_recall_at_20,retrieval_matched_gold_at_20,Hit@50,retrieval_gold_hit_count_at_50,retrieval_precision_at_50,retrieval_average_precision_at_50,retrieval_gold_recall_at_50,retrieval_matched_gold_at_50,Hit@100,gold_hit@100,retrieval_precision_at_100,retrieval_average_precision_at_100,MeanR@100,retrieval_matched_gold_at_100,Hit@200,gold_hit@200,retrieval_precision_at_200,retrieval_average_precision_at_200,retrieval_gold_recall_at_200,retrieval_matched_gold_at_200,MRR,retrieval_gold_ranks,run,method,case_set_id
crohn_disease,autoimmune_derm_inflammatory,Crohn disease,16,TRUE,"[""Adalimumab"", ""Betamethasone"", ""Budesonide"", ""Certolizumab pegol"", ""Cortisone acetate"", ""Desonide"", ""Dexamethasone"", ""Hydrocortisone"", ""Hydrocortisone acetate"", ""Infliximab"", ""Methylprednisolone"", ""Natalizumab"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone"", ""Vedolizumab""]",FALSE,0,0,0,0,[],TRUE,4,0.8,0.1697916666666666,0.25,"[""Betamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Triamcinolone""]",TRUE,7,0.7,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.35,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.14,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.07,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.035,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",0.5,"{""Adalimumab"": null, ""Betamethasone"": 2, ""Budesonide"": null, ""Certolizumab pegol"": null, ""Cortisone acetate"": 6, ""Desonide"": null, ""Dexamethasone"": 8, ""Hydrocortisone"": null, ""Hydrocortisone acetate"": null, ""Infliximab"": null, ""Methylprednisolone"": 5, ""Natalizumab"": null, ""Prednisolone"": 4, ""Prednisone"": 7, ""Triamcinolone"": 3, ""Vedolizumab"": null}",main,GraphDRx,4036eaaa82a9
crohn_disease,autoimmune_derm_inflammatory,Crohn disease,16,TRUE,"[""Adalimumab"", ""Betamethasone"", ""Budesonide"", ""Certolizumab pegol"", ""Cortisone acetate"", ""Desonide"", ""Dexamethasone"", ""Hydrocortisone"", ""Hydrocortisone acetate"", ""Infliximab"", ""Methylprednisolone"", ""Natalizumab"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone"", ""Vedolizumab""]",FALSE,0,0,0,0,[],TRUE,4,0.8,0.1697916666666666,0.25,"[""Betamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Triamcinolone""]",TRUE,7,0.7,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.35,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.14,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.07,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.035,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",0.5,"{""Adalimumab"": null, ""Betamethasone"": 2, ""Budesonide"": null, ""Certolizumab pegol"": null, ""Cortisone acetate"": 6, ""Desonide"": null, ""Dexamethasone"": 8, ""Hydrocortisone"": null, ""Hydrocortisone acetate"": null, ""Infliximab"": null, ""Methylprednisolone"": 5, ""Natalizumab"": null, ""Prednisolone"": 4, ""Prednisone"": 7, ""Triamcinolone"": 3, ""Vedolizumab"": null}",ablation_no_T,GraphDRx without T anchor branch,4036eaaa82a9
crohn_disease,autoimmune_derm_inflammatory,Crohn disease,16,TRUE,"[""Adalimumab"", ""Betamethasone"", ""Budesonide"", ""Certolizumab pegol"", ""Cortisone acetate"", ""Desonide"", ""Dexamethasone"", ""Hydrocortisone"", ""Hydrocortisone acetate"", ""Infliximab"", ""Methylprednisolone"", ""Natalizumab"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone"", ""Vedolizumab""]",FALSE,0,0,0,0,[],TRUE,4,0.8,0.1697916666666666,0.25,"[""Betamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Triamcinolone""]",TRUE,7,0.7,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.35,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.14,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.07,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.035,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",0.5,"{""Adalimumab"": null, ""Betamethasone"": 2, ""Budesonide"": null, ""Certolizumab pegol"": null, ""Cortisone acetate"": 6, ""Desonide"": null, ""Dexamethasone"": 8, ""Hydrocortisone"": null, ""Hydrocortisone acetate"": null, ""Infliximab"": null, ""Methylprednisolone"": 5, ""Natalizumab"": null, ""Prednisolone"": 4, ""Prednisone"": 7, ""Triamcinolone"": 3, ""Vedolizumab"": null}",ablation_no_B,GraphDRx without B vector branch,4036eaaa82a9
crohn_disease,autoimmune_derm_inflammatory,Crohn disease,16,TRUE,"[""Adalimumab"", ""Betamethasone"", ""Budesonide"", ""Certolizumab pegol"", ""Cortisone acetate"", ""Desonide"", ""Dexamethasone"", ""Hydrocortisone"", ""Hydrocortisone acetate"", ""Infliximab"", ""Methylprednisolone"", ""Natalizumab"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone"", ""Vedolizumab""]",FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],0,"{""Adalimumab"": null, ""Betamethasone"": null, ""Budesonide"": null, ""Certolizumab pegol"": null, ""Cortisone acetate"": null, ""Desonide"": null, ""Dexamethasone"": null, ""Hydrocortisone"": null, ""Hydrocortisone acetate"": null, ""Infliximab"": null, ""Methylprednisolone"": null, ""Natalizumab"": null, ""Prednisolone"": null, ""Prednisone"": null, ""Triamcinolone"": null, ""Vedolizumab"": null}",ablation_no_C,GraphDRx without C semantic-prior branch,4036eaaa82a9
crohn_disease,autoimmune_derm_inflammatory,Crohn disease,16,TRUE,"[""Adalimumab"", ""Betamethasone"", ""Budesonide"", ""Certolizumab pegol"", ""Cortisone acetate"", ""Desonide"", ""Dexamethasone"", ""Hydrocortisone"", ""Hydrocortisone acetate"", ""Infliximab"", ""Methylprednisolone"", ""Natalizumab"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone"", ""Vedolizumab""]",FALSE,0,0,0,0,[],TRUE,4,0.8,0.1697916666666666,0.25,"[""Betamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Triamcinolone""]",TRUE,7,0.7,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.35,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.14,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.07,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.035,0.3301339285714286,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",0.5,"{""Adalimumab"": null, ""Betamethasone"": 2, ""Budesonide"": null, ""Certolizumab pegol"": null, ""Cortisone acetate"": 6, ""Desonide"": null, ""Dexamethasone"": 8, ""Hydrocortisone"": null, ""Hydrocortisone acetate"": null, ""Infliximab"": null, ""Methylprednisolone"": 5, ""Natalizumab"": null, ""Prednisolone"": 4, ""Prednisone"": 7, ""Triamcinolone"": 3, ""Vedolizumab"": null}",ablation_no_D,GraphDRx without D direct branch,4036eaaa82a9
crohn_disease,autoimmune_derm_inflammatory,Crohn disease,16,TRUE,"[""Adalimumab"", ""Betamethasone"", ""Budesonide"", ""Certolizumab pegol"", ""Cortisone acetate"", ""Desonide"", ""Dexamethasone"", ""Hydrocortisone"", ""Hydrocortisone acetate"", ""Infliximab"", ""Methylprednisolone"", ""Natalizumab"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone"", ""Vedolizumab""]",TRUE,1,1,0.0625,0.0625,"[""Betamethasone""]",TRUE,4,0.8,0.2010416666666666,0.25,"[""Betamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Triamcinolone""]",TRUE,7,0.7,0.3613839285714285,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.35,0.3613839285714285,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.14,0.3613839285714285,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.07,0.3613839285714285,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",TRUE,7,0.035,0.3613839285714285,0.4375,"[""Betamethasone"", ""Cortisone acetate"", ""Dexamethasone"", ""Methylprednisolone"", ""Prednisolone"", ""Prednisone"", ""Triamcinolone""]",1,"{""Adalimumab"": null, ""Betamethasone"": 1, ""Budesonide"": null, ""Certolizumab pegol"": null, ""Cortisone acetate"": 6, ""Desonide"": null, ""Dexamethasone"": 8, ""Hydrocortisone"": null, ""Hydrocortisone acetate"": null, ""Infliximab"": null, ""Methylprednisolone"": 5, ""Natalizumab"": null, ""Prednisolone"": 4, ""Prednisone"": 7, ""Triamcinolone"": 3, ""Vedolizumab"": null}",proposer_on_gptoss_matched,GraphDRx GPT-OSS proposer ON matched,4036eaaa82a9
sjogren_syndrome,autoimmune_derm_inflammatory,Sjogren syndrome,2,TRUE,"[""Cyclosporine"", ""Prednisolone""]",FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],TRUE,1,0.05,0.033333333,0.5,"[""Prednisolone""]",TRUE,2,0.04,0.06036036,1,"[""Cyclosporine"", ""Prednisolone""]",TRUE,2,0.02,0.06036036,1,"[""Cyclosporine"", ""Prednisolone""]",TRUE,2,0.01,0.06036036,1,"[""Cyclosporine"", ""Prednisolone""]",0.066666667,"{""Cyclosporine"": 37, ""Prednisolone"": 15}",main,GraphDRx,4036eaaa82a9
sjogren_syndrome,autoimmune_derm_inflammatory,Sjogren syndrome,2,TRUE,"[""Cyclosporine"", ""Prednisolone""]",FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],TRUE,1,0.05,0.038461538,0.5,"[""Prednisolone""]",TRUE,2,0.04,0.065488565,1,"[""Cyclosporine"", ""Prednisolone""]",TRUE,2,0.02,0.065488565,1,"[""Cyclosporine"", ""Prednisolone""]",TRUE,2,0.01,0.065488565,1,"[""Cyclosporine"", ""Prednisolone""]",0.076923077,"{""Cyclosporine"": 37, ""Prednisolone"": 13}",ablation_no_T,GraphDRx without T anchor branch,4036eaaa82a9
sjogren_syndrome,autoimmune_derm_inflammatory,Sjogren syndrome,2,TRUE,"[""Cyclosporine"", ""Prednisolone""]",FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],TRUE,1,0.05,0.033333333,0.5,"[""Prednisolone""]",TRUE,2,0.04,0.06036036,1,"[""Cyclosporine"", ""Prednisolone""]",TRUE,2,0.02,0.06036036,1,"[""Cyclosporine"", ""Prednisolone""]",TRUE,2,0.01,0.06036036,1,"[""Cyclosporine"", ""Prednisolone""]",0.066666667,"{""Cyclosporine"": 37, ""Prednisolone"": 15}",ablation_no_B,GraphDRx without B vector branch,4036eaaa82a9
sjogren_syndrome,autoimmune_derm_inflammatory,Sjogren syndrome,2,TRUE,"[""Cyclosporine"", ""Prednisolone""]",FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],FALSE,0,0,0,0,[],0,"{""Cyclosporine"": null, ""Prednisolone"": null}",ablation_no_C,GraphDRx without C semantic-prior branch,4036eaaa82a9
